Season,Cultivar,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,GY
1,LYNDA IPRO,2,60.60,15.20,59.00,126.60,2.15,3.00,180.87,3899.38
1,LYNDA IPRO,3,64.40,25.40,55.40,137.20,2.48,3.00,200.67,3993.56
1,LYNDA IPRO,4,60.27,18.07,52.93,117.33,2.20,2.93,201.77,4035.31
1,NK 8100 IPRO,1,84.20,16.80,80.60,200.80,2.49,6.80,194.62,3100.57
1,NK 8100 IPRO,2,83.60,17.40,56.40,122.40,2.17,5.40,196.67,3134.95
1,NK 8100 IPRO,3,74.00,19.00,73.40,186.20,2.54,5.80,194.11,3075.11
1,NK 8100 IPRO,4,80.60,17.73,70.13,169.80,2.40,6.00,193.43,3149.25
1,82HO111 IPRO - HO COXIM IPRO,1,50.40,17.00,78.80,189.80,2.41,6.60,194.03,3576.51
1,82HO111 IPRO - HO COXIM IPRO,2,63.20,14.20,67.20,176.40,2.63,6.00,185.96,3369.89
1,82HO111 IPRO - HO COXIM IPRO,3,55.40,14.00,81.80,197.60,2.42,6.20,186.60,3391.46
1,82HO111 IPRO - HO COXIM IPRO,4,56.33,15.07,75.93,187.93,2.48,6.27,193.80,3393.51
1,83IX84RSF I2X,1,69.40,15.20,103.80,219.20,2.11,5.60,146.16,4053.31
1,83IX84RSF I2X,2,79.00,18.20,87.20,208.00,2.39,6.60,148.48,4098.49
1,83IX84RSF I2X,3,67.20,14.60,102.40,203.20,1.98,5.60,151.95,4122.76
1,83IX84RSF I2X,4,71.87,16.00,97.80,210.13,2.16,5.93,145.72,4186.55
1,ADAPTA LTT 8402 IPRO,1,54.40,15.80,55.00,128.80,2.34,5.80,158.46,4509.32
1,ADAPTA LTT 8402 IPRO,2,58.60,16.40,54.80,132.80,2.42,5.00,149.77,4598.94
1,ADAPTA LTT 8402 IPRO,3,60.00,21.20,60.60,106.20,1.75,5.40,161.60,4499.14
1,ADAPTA LTT 8402 IPRO,4,57.67,17.80,56.80,122.60,2.17,5.40,172.20,4737.33
1,98R30 CE,1,78.60,17.60,58.60,138.80,2.37,6.60,169.78,4759.20
1,98R30 CE,2,73.40,17.00,74.80,183.20,2.45,6.60,160.08,4930.00
1,98R30 CE,3,71.00,18.00,58.60,143.60,2.45,6.60,176.58,4700.92
1,98R30 CE,4,74.33,17.53,64.00,155.20,2.42,6.60,173.59,4600.03
1,FORTALEZA IPRO,1,78.40,16.20,89.80,257.00,2.86,7.00,127.06,4552.40
1,FORTALEZA IPRO,2,74.80,18.40,44.00,115.60,2.63,5.20,131.94,4488.97
1,FORTALEZA IPRO,3,73.60,16.60,91.20,236.80,2.60,6.60,130.64,4201.24
1,FORTALEZA IPRO,4,75.60,17.07,75.00,203.13,2.70,6.27,134.95,4211.03
1,MONSOY 8330I2X,1,63.40,14.60,54.60,139.00,2.55,4.20,144.29,4235.72
1,MONSOY 8330I2X,2,73.60,19.40,30.00,142.60,4.75,5.00,147.81,4510.86
1,MONSOY 8330I2X,3,70.80,18.00,64.80,159.40,2.46,4.20,151.42,4453.45
1,MONSOY 8330I2X,4,69.27,17.33,49.80,147.00,3.25,4.47,153.51,4373.28
1,SUZY IPRO,1,62.20,15.40,116.40,253.60,2.18,5.60,143.30,4057.59
1,SUZY IPRO,2,70.40,12.60,73.00,176.00,2.41,5.60,149.02,3896.69
1,SUZY IPRO,3,71.60,16.60,93.40,232.00,2.48,5.80,142.17,3764.97
1,SUZY IPRO,4,68.07,14.87,94.27,220.53,2.36,5.67,141.64,3853.95
1,TMG 22X83I2X,1,65.80,16.60,39.80,89.60,2.25,4.00,167.45,4011.21
1,TMG 22X83I2X,2,77.80,16.00,39.40,92.40,2.35,3.80,178.33,3882.27
1,TMG 22X83I2X,3,63.80,16.00,33.20,79.20,2.39,3.40,180.34,3672.64
1,TMG 22X83I2X,4,69.13,16.20,37.47,87.07,2.33,3.73,177.98,3857.90
1,EXPANDE LTT 8301 IPRO,1,66.60,19.20,32.40,78.80,2.43,4.60,159.05,3350.20
1,EXPANDE LTT 8301 IPRO,2,65.80,16.00,33.40,84.80,2.54,4.40,166.83,3281.84
1,EXPANDE LTT 8301 IPRO,3,66.80,18.20,37.00,85.40,2.31,3.60,172.32,3241.97
1,EXPANDE LTT 8301 IPRO,4,66.40,17.80,34.27,83.00,2.43,4.20,178.41,3433.15
1,FORTALECE L090183 RR,1,75.20,18.00,31.20,78.80,2.53,3.20,146.09,4418.61
1,FORTALECE L090183 RR,2,68.80,18.60,41.60,100.80,2.42,3.00,155.29,4168.57
1,FORTALECE L090183 RR,3,71.00,16.40,67.80,166.40,2.45,3.80,152.79,4003.94
1,FORTALECE L090183 RR,4,71.67,17.67,46.87,115.33,2.47,3.33,149.71,4147.17
1,96R29 IPRO,1,70.80,17.40,55.00,132.20,2.40,4.80,152.31,2231.26
1,96R29 IPRO,2,74.60,16.60,40.80,100.40,2.46,3.80,155.66,1851.95
1,96R29 IPRO,3,53.20,14.80,20.20,55.40,2.74,4.60,155.29,1796.34
1,96R29 IPRO,4,66.20,16.27,38.67,96.00,2.54,4.40,159.66,1538.23
1,74K75RSF CE,1,63.80,15.80,56.80,139.20,2.45,5.40,167.44,2942.14
1,74K75RSF CE,2,65.80,13.80,73.60,180.60,2.45,5.00,158.30,2939.59
1,74K75RSF CE,3,77.20,17.20,56.60,149.00,2.63,4.40,159.49,2860.14
1,74K75RSF CE,4,68.93,15.60,62.33,156.27,2.51,4.93,158.30,2854.18
1,FTR 3868 IPRO,1,69.20,17.20,47.60,121.20,2.55,4.80,153.93,2691.31
1,FTR 3868 IPRO,2,71.80,16.20,44.20,111.60,2.52,4.60,157.70,3237.52
1,FTR 3868 IPRO,3,67.00,15.80,61.60,152.40,2.47,5.80,138.32,2754.44
1,FTR 3868 IPRO,4,69.33,16.40,51.13,128.40,2.52,5.07,138.68,2648.52
1,GNS7700 IPRO,1,66.20,15.60,46.00,97.00,2.11,3.80,138.18,2850.00
1,GNS7700 IPRO,2,69.60,12.60,38.40,97.80,2.55,4.00,135.70,2804.11
1,GNS7700 IPRO,3,65.80,14.00,47.20,119.20,2.53,4.00,134.36,2792.99
1,GNS7700 IPRO,4,67.20,14.07,43.87,104.67,2.39,3.93,139.74,2870.00
1,ELISA IPRO,1,71.40,19.40,46.80,98.20,2.10,3.80,162.09,3084.98
1,ELISA IPRO,2,78.00,16.60,42.80,83.00,1.94,4.00,157.75,3112.47
1,ELISA IPRO,3,78.80,17.60,48.20,96.60,2.00,4.80,165.40,2890.00
1,ELISA IPRO,4,76.07,17.87,45.93,92.60,2.01,4.20,173.00,2980.00
1,79I81RSF IPRO,1,70.00,17.80,64.00,144.60,2.26,5.00,180.08,2940.87
1,79I81RSF IPRO,2,68.60,15.20,77.60,179.40,2.31,5.00,175.76,2925.98
1,79I81RSF IPRO,3,55.60,13.60,51.60,130.00,2.52,4.80,179.29,2874.79
1,79I81RSF IPRO,4,64.73,15.53,64.40,151.33,2.36,4.93,184.67,3078.82
1,NEO 790 IPRO,1,53.00,17.40,33.00,86.20,2.61,5.60,135.76,2913.34
1,NEO 790 IPRO,2,55.20,18.00,34.80,78.80,2.26,5.00,147.81,2712.41
1,NEO 790 IPRO,3,52.20,15.60,32.40,47.80,1.48,5.20,141.88,3000.92
1,NEO 790 IPRO,4,53.47,17.00,33.40,70.93,2.12,5.27,152.68,2866.52
1,PAULA IPRO,1,65.60,15.80,48.80,94.00,1.93,4.80,156.96,3562.76
1,PAULA IPRO,2,72.20,17.20,48.40,90.40,1.87,3.60,158.45,3796.86
1,PAULA IPRO,3,68.60,16.20,39.40,92.00,2.34,3.80,149.20,3347.29
1,PAULA IPRO,4,68.80,16.40,45.53,92.13,2.04,4.07,148.87,3469.66
1,FTR 3179 IPRO,1,61.00,13.40,75.60,170.60,2.26,5.00,131.79,2401.39
1,FTR 3179 IPRO,2,66.60,15.00,60.00,130.80,2.18,4.80,135.47,2493.07
1,FTR 3179 IPRO,3,63.80,14.40,81.60,176.40,2.16,5.00,131.97,2328.59
1,FTR 3179 IPRO,4,63.80,14.27,72.40,159.27,2.20,4.93,129.05,2389.67
1,LAT 1330BT,1,55.20,14.80,46.00,106.40,2.31,4.40,207.43,3038.24
1,LAT 1330BT,2,55.00,10.80,51.20,118.60,2.32,3.40,202.79,3237.52
1,LAT 1330BT,3,51.00,15.80,32.60,66.20,2.03,2.80,216.00,3204.73
1,LAT 1330BT,4,53.73,13.80,43.27,97.07,2.22,3.53,195.20,3085.32
1,FTR 4280 IPRO,1,70.00,17.60,50.60,97.60,1.93,4.00,160.84,3365.40
1,FTR 4280 IPRO,2,65.20,16.80,61.40,112.40,1.83,5.20,155.94,2859.83
1,FTR 4280 IPRO,3,63.00,17.00,48.20,87.40,1.81,4.40,159.90,3277.45
1,FTR 4280 IPRO,4,66.07,17.13,53.40,99.13,1.86,4.53,157.55,2934.84
1,ATAQUE I2X,1,71.20,16.40,42.20,61.00,1.45,3.60,130.45,2898.66
1,ATAQUE I2X,2,69.20,17.00,54.40,130.80,2.40,3.80,141.36,2773.18
1,ATAQUE I2X,3,67.40,16.80,36.80,91.60,2.49,2.80,142.13,2796.41
1,ATAQUE I2X,4,69.27,16.73,44.47,94.47,2.11,3.40,140.28,2808.53
1,SYN2282IPRO,1,56.20,13.20,43.60,98.20,2.25,2.80,183.46,2888.05
1,SYN2282IPRO,2,59.60,15.40,51.60,122.60,2.38,3.60,171.56,2958.83
1,SYN2282IPRO,3,59.40,14.60,35.20,77.60,2.20,3.80,172.79,2856.20
1,SYN2282IPRO,4,58.40,14.40,43.47,99.47,2.28,3.40,181.22,2916.69
1,82I78RSF IPRO,1,58.40,15.40,28.80,70.00,2.43,2.60,150.08,2331.93
1,82I78RSF IPRO,2,61.40,15.20,48.80,123.80,2.54,4.20,148.17,2422.78
1,82I78RSF IPRO,3,57.00,13.20,49.20,121.20,2.46,4.40,145.99,2461.66
1,82I78RSF IPRO,4,58.93,14.60,42.27,105.00,2.48,3.73,145.50,2268.80
1,M 8644 IPRO,1,66.80,20.40,33.00,78.20,2.37,4.00,157.85,3308.55
1,M 8644 IPRO,2,70.40,16.80,41.00,81.20,1.98,2.80,151.24,3128.62
1,M 8644 IPRO,3,68.60,14.80,65.40,61.40,0.94,3.40,146.44,3318.97
1,M 8644 IPRO,4,68.60,17.33,46.47,73.60,1.76,3.40,148.86,3182.67
1,MONSOY M8606I2X,1,63.40,14.40,63.60,150.60,2.37,2.20,162.90,3275.76
1,MONSOY M8606I2X,2,66.40,14.60,56.60,129.60,2.29,2.60,161.98,3505.66
1,MONSOY M8606I2X,3,67.80,13.40,48.40,116.60,2.41,2.60,147.20,3242.17
1,MONSOY M8606I2X,4,65.87,14.13,56.20,132.27,2.36,2.47,155.75,3596.62
1,NK 8770 IPRO,1,65.00,15.20,53.60,143.00,2.67,3.40,174.69,3777.55
1,NK 8770 IPRO,2,58.40,14.60,32.00,87.60,2.74,3.20,174.37,3726.67
1,NK 8770 IPRO,3,61.80,14.80,48.00,122.80,2.56,3.20,169.03,3755.74
1,NK 8770 IPRO,4,61.73,14.87,44.53,117.80,2.65,3.27,179.82,3893.38
1,FTR 4288 IPRO,1,63.60,14.80,52.20,117.80,2.26,4.20,151.90,3625.01
1,FTR 4288 IPRO,2,63.40,16.40,35.00,79.40,2.27,3.80,152.01,3814.83
1,FTR 4288 IPRO,3,60.40,15.40,44.60,131.20,2.94,3.60,150.72,3529.86
1,FTR 4288 IPRO,4,62.47,15.53,43.93,109.47,2.49,3.87,153.59,3818.16
1,FTR 3190 IPRO,1,64.60,13.40,33.40,70.40,2.11,2.80,157.09,3544.51
1,FTR 3190 IPRO,2,67.20,13.40,39.00,59.40,1.52,2.80,157.14,3623.26
1,FTR 3190 IPRO,3,70.20,12.80,35.60,81.00,2.28,2.80,159.08,3857.70
1,FTR 3190 IPRO,4,67.33,13.20,36.00,70.27,1.97,2.80,155.24,3771.31
2,NEO 760 CE,1,76.40,16.00,39.40,99.40,2.52,1.80,162.46,3087.155172
2,NEO 760 CE,2,80.60,14.60,70.00,174.00,2.49,3.00,169.60,3236.275862
2,NEO 760 CE,3,65.20,13.20,50.00,126.40,2.53,4.00,150.70,3329.62069
2,NEO 760 CE,4,74.07,14.60,53.13,133.27,2.51,2.93,161.52,3192.873563
2,MANU IPRO,1,76.40,16.00,39.40,99.40,2.52,1.80,165.59,3248.729885
2,MANU IPRO,2,80.60,14.60,70.00,174.00,2.49,3.00,169.38,3371.586207
2,MANU IPRO,3,65.20,13.20,50.00,126.40,2.53,4.00,165.17,3216.051724
2,MANU IPRO,4,74.07,14.60,53.13,133.27,2.51,2.93,162.17,3357.701149
2,77HO111I2X - GUAPORÉ,1,48.00,10.20,24.80,48.00,1.94,1.40,186.65,3651.712644
2,77HO111I2X - GUAPORÉ,2,47.60,8.20,32.60,70.00,2.15,1.60,186.05,3435.724138
2,77HO111I2X - GUAPORÉ,3,48.40,10.80,26.00,51.40,1.98,1.60,183.34,3579.310345
2,77HO111I2X - GUAPORÉ,4,48.00,9.73,27.80,56.47,2.02,1.53,180.22,3661.758621
2,NK 7777 IPRO,1,64.40,10.60,46.00,101.80,2.21,2.60,187.98,3655.793103
2,NK 7777 IPRO,2,73.00,10.80,44.00,96.00,2.18,2.20,196.12,3532.775862
2,NK 7777 IPRO,3,64.20,9.00,46.00,683.40,14.86,0.80,192.58,3695.747126
2,NK 7777 IPRO,4,67.20,10.13,45.33,293.73,6.42,1.87,187.95,3712.155172
2,GNS7900 IPRO - AMPLA,1,76.40,15.80,50.20,99.60,1.98,3.00,174.00,3783.678161
2,GNS7900 IPRO - AMPLA,2,81.60,20.20,49.40,102.20,2.07,1.60,185.41,3979.568966
2,GNS7900 IPRO - AMPLA,3,80.20,19.20,60.00,135.40,1.15,4.60,185.39,3785.643678
2,GNS7900 IPRO - AMPLA,4,79.40,18.40,53.20,112.40,1.73,3.07,183.40,3940
2,LTT 7901 IPRO,1,77.00,18.20,56.60,169.60,3.00,4.40,179.43,3675.172414
2,LTT 7901 IPRO,2,73.40,15.80,58.80,140.00,2.38,3.00,174.39,3495.793103
2,LTT 7901 IPRO,3,83.80,15.40,44.00,134.00,3.05,2.60,169.32,3444.137931
2,LTT 7901 IPRO,4,78.07,16.47,53.13,147.87,2.81,3.33,171.97,3602.827586
2,BRASMAX BÔNUS IPRO,1,74.20,17.20,42.80,107.00,2.50,1.80,213.24,2673.068966
2,BRASMAX BÔNUS IPRO,2,78.20,9.80,43.20,67.20,1.56,2.40,206.95,2662.183908
2,BRASMAX BÔNUS IPRO,3,82.20,13.40,42.60,91.20,2.14,1.60,200.92,2737.528736
2,BRASMAX BÔNUS IPRO,4,78.20,13.47,42.87,88.47,2.07,1.93,209.80,2640
2,97Y97 IPRO,1,77.80,17.00,49.80,86.60,1.74,4.00,172.20,2951.603448
2,97Y97 IPRO,2,77.20,17.40,42.20,95.00,2.25,2.80,173.80,3069.548276
2,97Y97 IPRO,3,79.20,17.60,43.40,78.80,1.82,4.20,193.33,3159.068966
2,97Y97 IPRO,4,78.07,17.33,45.13,86.80,1.94,3.67,176.20,3176.344828
2,BRASMAX OLIMPO IPRO,1,66.60,13.20,38.00,84.40,2.22,3.60,200.86,3523.08046
2,BRASMAX OLIMPO IPRO,2,75.40,15.00,45.00,113.40,2.52,3.00,194.93,3622.465517
2,BRASMAX OLIMPO IPRO,3,83.80,14.40,38.00,87.40,2.30,2.20,191.06,3632.482759
2,BRASMAX OLIMPO IPRO,4,75.27,14.20,40.33,95.07,2.35,2.93,191.75,3451.448276
2,LYNDA IPRO,1,68.00,17.40,48.60,115.60,2.38,4.00,198.28,3120.586207
2,LYNDA IPRO,2,62.60,13.20,43.20,77.20,1.79,3.60,204.00,3106.275862
2,LYNDA IPRO,3,60.40,13.40,47.00,80.40,1.71,3.80,193.68,3281.034483
2,LYNDA IPRO,4,63.67,14.67,46.27,91.07,1.96,3.80,201.86,3207.356322
2,NK 8100 IPRO,1,74.80,21.20,84.20,167.00,1.98,5.40,199.54,3252.505747
2,NK 8100 IPRO,2,71.60,14.40,110.00,180.00,2.35,9.00,196.21,3303.206897
2,NK 8100 IPRO,3,77.20,18.60,100.40,161.20,1.61,5.80,203.73,3432.091954
2,NK 8100 IPRO,4,74.53,18.07,98.20,169.40,1.98,6.73,199.71,3193.948276
2,82HO111 IPRO - HO COXIM IPRO,1,69.80,13.00,123.00,281.80,2.29,3.80,189.92,3815.454023
2,82HO111 IPRO - HO COXIM IPRO,2,66.80,15.40,100.00,102.20,1.55,5.00,197.06,3758.275862
2,82HO111 IPRO - HO COXIM IPRO,3,69.40,13.40,114.00,266.00,2.33,5.00,202.59,3610.689655
2,82HO111 IPRO - HO COXIM IPRO,4,68.67,13.93,112.33,216.67,2.06,4.60,201.31,3886.436782
2,83IX84RSF I2X,1,80.00,18.60,49.80,74.60,1.50,3.40,162.90,3636.982759
2,83IX84RSF I2X,2,83.60,17.80,45.00,64.00,1.42,3.60,170.42,3454.827586
2,83IX84RSF I2X,3,81.80,16.00,42.00,53.00,1.26,3.40,161.74,3530.62069
2,83IX84RSF I2X,4,81.80,17.47,45.60,63.87,1.39,3.47,164.87,3547.08046
2,ADAPTA LTT 8402 IPRO,1,58.60,9.80,55.60,117.60,2.12,3.20,180.93,2878.448276
2,ADAPTA LTT 8402 IPRO,2,58.20,9.80,55.40,129.20,2.33,2.40,179.21,2765.517241
2,ADAPTA LTT 8402 IPRO,3,61.60,11.80,48.00,123.80,2.58,3.20,181.40,2903.752874
2,ADAPTA LTT 8402 IPRO,4,59.47,10.47,53.00,123.53,2.34,2.93,173.30,3083.402299
2,98R30 CE,1,69.80,12.40,103.20,264.60,2.56,4.00,182.00,3132.597701
2,98R30 CE,2,75.80,14.40,85.20,214.60,2.52,3.40,184.42,3175.586207
2,98R30 CE,3,72.60,16.20,80.00,80.40,2.09,2.80,183.11,3071.425287
2,98R30 CE,4,72.73,14.33,89.47,186.53,2.39,3.40,175.96,3349.982759
2,FORTALEZA IPRO,1,62.80,13.20,42.00,88.40,2.10,3.60,137.60,3519.08046
2,FORTALEZA IPRO,2,70.00,12.60,58.00,137.80,2.38,4.20,127.76,3396.103448
2,FORTALEZA IPRO,3,65.40,12.20,57.40,108.40,1.89,5.60,130.46,3388
2,FORTALEZA IPRO,4,66.07,12.67,52.47,111.53,2.12,4.47,132.81,3455.264368
2,MONSOY 8330I2X,1,59.40,12.20,56.80,138.60,2.44,3.60,148.42,3279.563218
2,MONSOY 8330I2X,2,61.40,11.60,56.20,115.60,2.06,4.20,158.09,3479.885057
2,MONSOY 8330I2X,3,61.40,10.80,72.00,159.00,2.21,3.80,158.53,3517.356322
2,MONSOY 8330I2X,4,60.73,11.53,61.67,137.73,2.24,3.87,158.78,3402.413793
2,SUZY IPRO,1,63.80,11.60,58.00,104.20,1.80,2.60,154.26,3783.810345
2,SUZY IPRO,2,74.20,16.80,57.40,99.60,1.74,4.00,149.29,3575.862069
2,SUZY IPRO,3,73.60,15.20,50.60,87.20,1.72,2.40,154.03,3766.764368
2,SUZY IPRO,4,70.53,14.53,55.33,97.00,1.75,3.00,155.77,3572.655172
2,TMG 22X83I2X,1,65.20,12.80,75.20,105.00,2.48,4.00,184.11,3300.275862
2,TMG 22X83I2X,2,66.20,11.20,53.00,86.00,1.62,3.20,184.17,3336.465517
2,TMG 22X83I2X,3,55.40,9.00,82.00,114.40,1.40,3.20,182.95,3348.270115
2,TMG 22X83I2X,4,62.27,11.00,70.07,101.80,1.83,3.47,183.13,3447.172414
2,EXPANDE LTT 8301 IPRO,1,62.00,10.20,58.00,132.00,2.28,3.40,186.24,3677.885057
2,EXPANDE LTT 8301 IPRO,2,68.40,14.40,67.20,151.00,2.25,3.40,182.05,3599.655172
2,EXPANDE LTT 8301 IPRO,3,67.00,17.40,58.00,125.60,2.17,3.40,180.33,3596.62069
2,EXPANDE LTT 8301 IPRO,4,65.80,14.00,61.07,136.20,2.23,3.40,189.46,3451.281609
2,FORTALECE L090183 RR,1,61.80,12.20,37.60,69.40,1.85,0.40,165.68,3323.517241
2,FORTALECE L090183 RR,2,63.00,16.80,45.80,112.40,2.45,2.00,157.15,3248.87931
2,FORTALECE L090183 RR,3,61.60,16.80,50.00,121.40,1.20,2.20,162.17,3288.988506
2,FORTALECE L090183 RR,4,62.13,15.27,44.47,101.07,1.83,1.53,158.04,3641.609195
2,96R29 IPRO,1,66.20,16.00,46.60,100.80,2.16,2.40,152.78,2733.137931
2,96R29 IPRO,2,59.20,16.00,34.40,88.20,2.56,3.00,164.61,2726.862069
2,96R29 IPRO,3,65.00,12.80,57.40,138.00,2.40,3.20,167.22,2625.913793
2,96R29 IPRO,4,63.47,14.93,46.13,109.00,2.38,2.87,157.20,2810
2,74K75RSF CE,1,70.40,14.00,50.40,118.40,2.35,4.40,162.20,3895
2,74K75RSF CE,2,82.20,14.40,44.00,97.40,2.21,2.80,168.01,3945.45977
2,74K75RSF CE,3,74.00,15.40,66.40,111.00,1.67,4.00,174.20,3772.574713
2,74K75RSF CE,4,75.53,14.60,53.60,108.93,2.08,3.73,176.96,3789.264368
2,FTR 3868 IPRO,1,82.00,18.20,36.60,93.00,2.54,2.40,163.69,3723.931034
2,FTR 3868 IPRO,2,77.40,15.80,36.00,86.40,2.40,1.80,164.92,4001.942529
2,FTR 3868 IPRO,3,72.40,15.20,43.20,89.40,2.07,3.00,163.33,3439.655172
2,FTR 3868 IPRO,4,77.27,16.40,38.60,89.60,2.34,2.40,157.72,3706.965517
2,GNS7700 IPRO,1,79.80,13.60,61.80,166.00,2.69,2.80,162.02,3048.057471
2,GNS7700 IPRO,2,70.60,21.80,43.60,122.80,2.82,2.00,162.85,3236.781609
2,GNS7700 IPRO,3,75.00,15.00,47.00,98.00,2.09,2.20,168.54,3229.425287
2,GNS7700 IPRO,4,75.13,16.80,50.80,128.93,2.53,2.33,171.37,3266.068966
2,ELISA IPRO,1,67.00,13.60,53.20,165.00,3.10,3.80,178.00,3740
2,ELISA IPRO,2,70.60,19.40,42.60,99.00,2.32,3.40,175.40,3660.787356
2,ELISA IPRO,3,74.80,14.00,36.00,83.00,2.31,3.00,173.60,3568.183908
2,ELISA IPRO,4,70.80,15.67,43.93,115.67,2.58,3.40,177.40,3720.718391
2,79I81RSF IPRO,1,69.00,9.60,62.80,140.00,2.23,3.00,201.30,3976.241379
2,79I81RSF IPRO,2,64.40,8.40,61.80,159.00,2.57,2.20,196.72,4135.689655
2,79I81RSF IPRO,3,68.60,11.00,61.40,157.00,2.56,3.40,198.38,4164.057471
2,79I81RSF IPRO,4,67.33,9.67,62.00,152.00,2.45,2.87,193.00,4120
2,NEO 790 IPRO,1,64.00,11.40,75.60,241.00,3.19,4.60,189.85,3386.637931
2,NEO 790 IPRO,2,64.00,15.40,50.40,121.20,2.40,4.00,192.48,3249.873563
2,NEO 790 IPRO,3,63.60,17.00,87.20,215.60,2.47,4.60,190.00,3400
2,NEO 790 IPRO,4,63.87,14.60,71.07,192.60,2.69,4.40,193.04,3437.885057
2,PAULA IPRO,1,73.00,10.40,87.60,181.80,2.08,4.00,184.20,3390
2,PAULA IPRO,2,78.20,11.60,76.00,105.80,1.39,4.00,185.66,3459.770115
2,PAULA IPRO,3,66.40,9.60,69.60,123.20,1.77,3.00,180.83,3566.321839
2,PAULA IPRO,4,72.53,10.53,77.73,136.93,1.75,3.67,185.47,3388.206897
2,FTR 3179 IPRO,1,75.40,13.60,53.20,100.40,1.89,1.80,156.60,2950
2,FTR 3179 IPRO,2,74.20,11.40,53.00,93.60,1.77,2.00,143.24,3091.442529
2,FTR 3179 IPRO,3,74.40,13.60,48.40,94.60,1.95,2.00,142.20,3130
2,FTR 3179 IPRO,4,74.67,12.87,51.53,96.20,1.87,1.93,145.30,3019.551724
2,LAT 1330BT,1,76.40,12.20,37.60,91.80,2.44,2.00,190.98,3246.264368
2,LAT 1330BT,2,63.60,19.80,63.00,139.40,2.21,2.40,200.04,3295.948276
